State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Year Average
Iowa,2010,0.007491377820707067,0.028712535353535337,0.00039678417929292877,0.2513585833333336,0.07198982017171723
Iowa,2011,0.007370355408745246,0.0280168536121673,0.0004989953973384032,0.20853635361216763,0.06110563950760464
Iowa,2012,0.0075794216510791405,0.029344552158273383,0.00043040443525179864,0.21759101798561195,0.06373634905755407
Iowa,2013,0.006766695505050503,0.02833460697887969,0.0004016131267217638,0.20302656749311246,0.05963237077594111
Iowa,2014,0.0063487705364583275,0.02664081597222219,0.00042302867361111094,0.20453614583333246,0.059487190253906023
Iowa,2015,0.006067910473958332,0.02744391753472221,0.0004071127621527769,0.20965393576388752,0.06089321913368021
Iowa,2016,0.005994894780219781,0.030609082417582416,0.00019727761538461557,0.21193610439560512,0.06218433980219798
Kansas,2000,0.009703852443089425,0.02972557723577238,0.0009521257262872626,0.7566922547425466,0.19926845253692393
Kansas,2001,0.010594909158176952,0.027977982573726523,0.001003458478552279,0.3366985764075068,0.09406873165449063
Kansas,2002,0.008772643960099745,0.027315770573566062,0.0015702145012468822,0.39407412967581057,0.10793318967768081
Kansas,2003,0.009623070339901492,0.027759985221674863,0.0018106109852216723,0.3176424170771757,0.08920902090599343
Kansas,2004,0.009540076842349315,0.02433055023183923,0.00210937943122102,0.38298482843894904,0.10474120873608965
Kansas,2005,0.010949590485362091,0.02617121571648691,0.0022251686687211085,0.386229314329738,0.10639382230007703
Kansas,2006,0.011178105495107634,0.027626790606653646,0.0033029245538160434,0.3782410743639926,0.10508722375489249
Kansas,2007,0.01339360327945205,0.02323153698630135,0.0042101103479452034,0.4244584082191783,0.11632341470821922
Kansas,2008,0.01680789221037463,0.022085515850144094,0.004055625423631126,0.4043491729106628,0.11182455159870316
Kansas,2009,0.012271639795321638,0.023496339181286553,0.004662116836257305,0.2976046257309944,0.08450868038596497
Kansas,2010,0.013066675312865506,0.02159838596491227,0.005206644488304091,0.4188260818713455,0.11467444690935684
Kansas,2011,0.013100770259999986,0.021984428571428592,0.003638174174285712,0.4532960800000002,0.12300486325142862
Kansas,2012,0.012063074105571846,0.028827659824046937,0.0028252812961876827,0.5131426862170084,0.13921467536070373
Kansas,2013,0.01185971266558442,0.02520611688311688,0.0020583588084415578,0.43710233441558427,0.11905663069318179
Kansas,2014,0.011030924596590908,0.02518003977272729,0.001777025056818181,0.2655343011363638,0.07588057264062505
Kansas,2015,0.011035437571856281,0.025352637724550906,0.0015591846676646722,0.2863915449101798,0.08108470121856293
Kansas,2016,0.011582273045454545,0.022839818181818183,0.0010975874772727271,0.25196203409090906,0.07187042819886363
Kentucky,2000,0.012660981238130012,0.028916364499634785,0.004770384133674213,0.17834415631848055,0.05617297154747989
Kentucky,2001,0.012547681509615374,0.030232937500000005,0.004072305902884618,0.1316772240384615,0.04463253723774037
Kentucky,2002,0.011074694029259887,0.03202080895008604,0.0029300794888123902,0.13028640963855428,0.04407799802667815
Kentucky,2003,0.01083007030645161,0.032915443548387095,0.0035413172903225785,0.10563956854838714,0.03823159992338711
Kentucky,2013,0.014108201243902435,0.015324060975609758,0.0015201219756097563,0.35146624390243897,0.09560465702439024
Kentucky,2014,0.011460217392638038,0.020485858895705523,0.0014727143312883437,0.2614925889570553,0.0737278448941718
Kentucky,2015,0.007901013989637306,0.0236517823834197,0.0005619281606217615,0.2716255854922282,0.07593507750647674
Louisiana,2000,0.017346074243169383,0.023755950819672127,0.0036644873715847,0.7587754262295086,0.2008854846659837
Louisiana,2001,0.01735923877222224,0.022977722222222205,0.0036944747499999993,0.8279243500000005,0.21798894643611125
Louisiana,2002,0.01799676321739128,0.021032043478260862,0.0026296481681159414,0.7174759304347832,0.18978359632463782
Louisiana,2003,0.015562502252777765,0.020968977777777783,0.0033799934166666656,0.664201577777778,0.17602826280625006
Louisiana,2004,0.015816226016438364,0.022231991780821938,0.0034658194493150662,0.5642378465753427,0.1514379709554795
Louisiana,2005,0.014399629534042556,0.02539037872340425,0.0037753849148936163,0.4724972553191489,0.12901566212287233
Louisiana,2006,0.01499175220716113,0.02296039386189259,0.0034409510895140652,0.37360382097186706,0.1037492295326087
Louisiana,2007,0.01519911691830986,0.022392932394366193,0.0025752886957746443,0.38201340563380287,0.10554518591056339
Louisiana,2008,0.013087885294117642,0.02171054061624649,0.0024172780168067224,0.28282628011204486,0.08001049600980392
Louisiana,2009,0.012875143473684198,0.022424952908587266,0.0019214925512465368,0.22295835457063756,0.0650449858760389
Louisiana,2010,0.012698542830028324,0.025291603399433434,0.0013646060000000002,0.24746790084985845,0.07170566326983005
Louisiana,2011,0.011665706710743802,0.025233942148760343,0.001251853292011019,0.22176262809917374,0.06497853256267222
Louisiana,2012,0.01140054294366198,0.024979115492957765,0.0008349299802816901,0.2194393436619719,0.06416348301971833
Louisiana,2013,0.009644705094444452,0.02365381111111111,0.000641808372222222,0.20463813333333356,0.05964461447777783
